,,,,,,SOLUTION SCOPE,,,,,,USER EXPERIENCE DATA,,,,,,,,,,,,,,,,,,,,,BUSINESS IMPACT DATA,,,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,PORTFOLIO REVIEW,,,
PJC,Onboarding,"Inadequate preparation for new hires to sit in the purple chair during onboarding leads to poor adherence to company values, increasing the risk of frustration and premature dismissals, impacting new employees' ability to thrive in their roles.","Onboarding Program is a comprehensive experience platform that helps new members integrate seamlessly into the organization by providing training, communications, virtual sessions, and asynchronous content.",NO,Manuela Prado,3. Mature,New Hires,"N/A, New Hires",(2) Start and adapt,(5) Interrupt and get back to work,Zoom + Nucleo,NPS,80,88,98,93,93,95,95,98,,,,,,Google Forms,Automated,,,,Monthly,Dashboard,Rehire Favorability,90,98,97,93,N/A,N/A,N/A,,,,,,,Google Forms,Automated,,,,Monthly,Dashboard,CSat | Rehire Favourability | Values Question,960,150,300,212,190,1812,0.95,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Internship Development Program,"The lack of skills and knowledge affects interns in their early career development, leading to potential challenges in performance, adaptability and development.",The Internship Development Program is a development pathway that enables Nubies upskilling by providing specific training based on their career moment.,NO,Yago Guimarães,3. Mature,Intern,N/A,(2) Start and adapt,(3) Perform my role,Zoom + Nucleo,NPS,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Google Forms,Manual,Low Effort,Low tracking frequency,"Build forms, ask for feedback and extract the results",Per Session Delivered,Internal Sheet,Probability of intern conversion (Perf. Cycle question),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Performance data,Manual,Low Effort,Low tracking frequency,"Request data to Performance Team, process data, generate report",Semiannually,Internal sheets,N/A,40,,,,,40,0.02,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,The Values Playbook,"Addresses the strategic challenge of ensuring Nubank's core values are consistently applied in daily work. It provides a unified path to prevent cultural fragmentation, ensuring that as teams face unique challenges, they remain aligned with the values that serve as the company's ""North Star"". The goal is to translate abstract principles into concrete, actionable behaviors to strengthen our culture.","Playbook is an integrated Employee Journey solution that addresses employee issues with clear, practical guidance across career stages. A principles-based (not procedural) resource to reinforce, communicate and protect Nubank’s culture, ensuring decisions reflect our five core values.",NO,Pedro Reis,1. Development,All Nubankers,N/A,(3) Perform my role,(2) Start and adapt,N/A,Culture Score Favorability,80,N/A,N/A,N/A,N/A,,,,,,,,,Qualtrics,N/A,,,,N/A,N/A,Engagement Score,80%,N/A,N/A,N/A,N/A,,,,,,,,,Qualtrics,Automated,,,,N/A,N/A,N/A,50,0,0,0,0,50,0.03,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Values Workshop,"The lack of proactive actions based on Nubank's values affects nubankers to develop solutions alligned with the company perspective, leading to misalignment with our culture.",The Values Workshop provides real-life examples and case discussions for the audience based on their area realities.,NO,Pedro Reis,1. Development,All Nubankers,N/A,(3) Perform my role,(2) Start and adapt,Zoom,NPS,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google Forms,Manual,Low Effort,Low tracking frequency,,Per Session Delivered,Internal Sheet,Engagement Survey,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qualtrics,Automated,,,,N/A,N/A,N/A,70,0,0,12,25,107,0.06,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,GM Academy Bootcamp,"Lack of specific knowledge (tech and leadership skills) affects GMs performance and effective collaboration, leading to low technical bar and low enterprise thinking.","The GM Academy Bootcamp is an immersive development program that enables GMs upskilling, by offering learning and connection opportunities.",NO,Marina Pimentel,1. Development,People Manager - M5+,MTeam,(3) Perform my role,(4) Develop myself and grow,Training/Development Session In-Person,NPS,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Google forms,Manual,Low Effort,Low tracking frequency,"build forms, ask for feedback from participants, extract results",Per Session Delivered,Internal Sheet,Evolution of skills explored during the initiative,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Performance data,Manual,Medium Effort,Low tracking frequency,"request data to performance team, process data, generate report",Per Session Delivered,Internal sheets,ONA Scores,640,2,0,0,0,642,0.34,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Key Talent Management,"Lack of robust talent identification processes with a data-centric approach affects HRBPS and Managers in creating intentional development opportunities for Nubankers, hinder Nubank's ability to intentionally develop talent pipeline.","Process to identify and keep track of Nu's key talents, making sure we are retaining intellectual capital in critical positions and also having a sustainable talent pipeline. 4 stages: 1) Map every KT at Nu, 2 - Stay Interviews; 3 - Personalized Development (by HRBP + Manager), 4 - yearly Review",NO,Luisa Viotti,2. Growth,P&C: HRBP,"P&C: HRBP, People Manager - M5+",(3) Perform my role,(4) Develop myself and grow,"Looker, Confluence; Google sheets",# of BUs joining the exercise throughout the year,100% BUs,0.99,0.99,0.99,0.99,,,,,,,,,Looker  ,Manual,,,,Per Session Delivered,Looker,KT Retention Rate,1,N/A,N/A,N/A,N/A,,,,,,,,,Visier,Manual,,,,Per Session Delivered,Visier,"Performance, promotion rate, maintaing status of KT YoY, Development opportunities, brokering",208,40,0,400,0,648,0.34,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Levelling,"Complex information about what to expect from professionals at each level and decentralized governanc, wirh more than 40 different leveling structures.
","Create a standard framework fand tool or Nu's leveling, helping create clear and efficient progression paths for IC & Manager careers
",NO,Natalia Resende,1. Development,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Acaso,"CSAT: ""The new leveling provides me clarity about Nubanks Career Paths""""
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polly,Manual,Medium Effort,Low tracking frequency,,Monthly,WIP Dashboard,"Adoption Rate: ""Number of access/views per person and/or per period""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acaso,Automated,Low Effort,,,N/A,WIP Dashboard,Acess and engagment metrics,1200,100,40,250,20,1610,0.85,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Career Platform,"Lack of a unified, connected environment for career and skills assessment and monitoring affects three groups - Nubankers (IC), People Managers, and HRBP - during career-related decision-making and business talent mapping. This leads to a loss of speed in talent decision-making processes, increased manual workload during organizational changes, and a decrease in accuracy when making career decisions.","The ""NuCareer Hub"" is a platform that enables 3 key users (Nubanker, Ppl Manager, and HRBP) to effectively navigate career-related products. It achieves this by creating an integrated ecosystem of information to facilitate the development and management of career and opportunities.",NO,Thuani Rodrigues,1. Development,All Nubankers,"N/A, People Manager - All",All,All,Acaso,# Journey steps completed within Career Hub,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acaso,Automated,,,,Daily,Acaso,"Unique uses rate
Precision rate (recommendation)
Sean Ellis/NPS
# reduce the gap between skills/ capabilities required x available - H2
# reduce P&C parallel tools related to career management
Career Questions Engagement Scores",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acaso,Automated,,,,Monthly,Acaso,"Already pointed on C""R""",480,272,0,0,0,752,0.40,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,NuTalent Hub (Business Profile),"Lack of talent visibility (skills, strengths, development needs, career aspirations) and inefficient talent allocation/redeployment create slow, unscalable, manual, and biased processes, hindering succession planning and the development of a robust talent pipeline at Nubank.","The NuTalent Hub helps Nubank (P&C and leaders) to enhance strategic talent decision-making by leveraging AI-driven data insights, we can match business needs with talent profiles and skills, ensuring we have the right people in the right place at the right time.",NO,Luisa Viotti,1. Development,P&C: HRBP,"P&C: All, People Manager - All",(4) Develop myself and grow,(3) Perform my role,Acaso,# accesses; talent searches conducted ,TBC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acaso,Automated,,,,Weekly,Analytics (under development) of Acaso's platform,"# of talent suggested, qualified and allocated in new business challenges",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oracle / Acaso / Informally via HRBP,Manual,,,,Per Session Delivered,Under development,Sean Ellis HRBPs and Managers impacted,1584,272,48,240,24,2168,1.14,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,NuCareer Hub (Nubanker's Profile),"Lack of self-awareness, autonomy and protagonism affects all nubankers in their career journey in Nubank, leading to confusion about the best way to manage career development inside Nubank","NuCareerHub is a career product that enables all Nubankers to connect their professional information by integrating LinkedIn profile information, self-assessed tasks and skills to create a unique profile with career insights, career plan opportunities, and more accurate career objectives connected with Nubank's Leveling.",NO,Thuani Rodrigues,1. Development,All Nubankers,N/A,(4) Develop myself and grow,(3) Perform my role,Acaso,PMF,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google Forms,N/A,,,,N/A,N/A,"Adoption (Completed Skills, Goals and Career Plan)",40%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dashboard Acaso,Automated,,,,Weekly,Dashboard,"Engagement, product satisfaction, conversion rates, user navigation",2160,272,0,0,0,2432,1.28,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Purple Rockets,"Inconsistent and unstructured development experiences affect high-potential IC4 individual contributors in tech functions in Mexico who are preparing for senior individual contributor roles (IC5), leading to varied levels of preparedness for senior responsibilities and a slower average career progression.","Purple Rockets is an 18-month program for high-potential IC4 tech talents in Mexico. It offers a structured journey focusing on Culture, Business Acumen, and Tech Skills, using blended learning to accelerate their development into Senior IC5s.",NO,Raul Araujo,1. Development,All Nubankers,"N/A, Individual Contributor - IC4-, Individual Contributor - IC4- ",(2) Start and adapt,(4) Develop myself and grow,Degreed + 3rd Party (TBD),NPS,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Zoom,Manual,,,,N/A,N/A,The % of Participants Promoted or with Promo Flag/Promo Readiness to IC5 after the 18 months of the program,60%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier,Manual,,,,N/A,N/A,N/A,1900,,,,,1900,1.00,,,,,
PSE,Benefits Module on Oracle,"Streamlines benefits administration, enhances employee self-service and integrates with other systems.",A streamlined Oracle module for managing and updating employee benefits.,NO,Artur Augelli,3. Mature,All Nubankers,P&C: PSE,(2) Start and adapt,N/A,Oracle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,240,240,0.13,TRUE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Nubreak,"Take care of Nubankers
when they need to interrupt
and get back to work.",Journey of care for Employees and Managers. Performance policy for extended leaves,NO,Artur Augelli,2. Growth,All Nubankers,"People Manager - All, All Nubankers, New Hires",(5) Interrupt and get back to work,N/A,Jira,Csat - Overall leaves experience for Nubankers ,>=4,N/A,4.5,4.6,4.6,4.6,4.67,N/A,N/A,N/A,N/A,N/A,N/A,Survey,Manual,,,,On demand,Forms / Checklist,Reduce Performance Bias ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Manual,,,,N/A,Dashboard,Sean Ellis Score - Whatsapp and Manager's Copilot,0,0,0,0,192,192,0.10,,,,,
PSE,Expectations Setting,"Undefined personal expectations and measurable goals affects all Nubankers in the execution of their activities, leading to Nubankwide wasted resources.","""Expectations Setting"" is an goal setting tool that enables the registration and continuous update of goals/deliverables and intended development actions by providing OKR style registration, kanban board for activities, comments and attachments.",NO,Milena Ponte,3. Mature,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Qulture.Rocks,Sean Ellis score,40%,-,18.40%,- ,,,,,,,,,,Post-phase survey,Manual,,,,On demand,"Polly, Google Forms",% Nubankers with registered expectations (tenure > 3mo),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Automated,,,,Daily,Continuous Performance Dashboard,Update Rate,,,,,320,320,0.17,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Development Plans,"Poorly defined plans to recover performance affects mostly active Nubankers presenting low performance in the period following a performance assessment, leading to reduced chance of performance recovery, which can lead to unnecessary terminations and added cost for terminations and re-hiring.","""Development Plans"" is a performance improvement tool that enables the registration and continuous update of plans targeting performance improvement by OKR style registration, kanban board for activities, comments and attachments.",NO,Milena Ponte,1. Development,All Nubankers,All Nubankers,(4) Develop myself and grow,N/A,Qulture.Rocks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,% Nubankers with registered deve plans (previous rating = 1-2),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Automated,,,,Daily,[wip] Low Perf Mgmt Dashboard,[wip] Update Rate,,,,,400,400,0.21,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Performance Checkpoints,"Lack of continuous and objective feedback from managers affects Nubankers in the execution of their daily activities, leading to performance delivery below Nubanker's potential and to the risk of performance ratings being a surprise during the YE","""Performance Checkpoints"" is a [""Solution Category""] that enables [Key Use Case] by [Key Features]

To foster continuous feedback from managers to Nubankers, this solution support managers to run partial performance assessments and share feedback with teams",NO,Milena Ponte,2. Growth,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Qulture.Rocks,Sean Ellis score,40%,-,-,-,,,,,,,,,,Post-phase survey,Manual,,,,On demand,"Polly, Google Forms",% Nubanker evaluated in Checkpoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Automated,,,,Daily,Continuous Performance Dashboard,# feedback delivered to Nubankers,,,,120,960,1080,0.57,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Performance Assessments,"Lack of ways to measure Nubankers individual performance affects Nubank's operations in its pursue of highly audacious term goals, leading to reduced longterm impact.","A module that allows performance evaluations to be executed contemplating 360 capabilities, but currently only aplied for Self and Lead to direct report",NO,Milena Ponte,3. Mature,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Qulture.Rocks,Sean Ellis score,40%,,,,,,,,,,,,,Post-phase survey,Manual,,,,On demand,"Polly, Google Forms",% Nubanker evaluated during the YE phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Automated,,,,Daily,YE Dashboard,# feedback delivered to Nubankers,,,,600,1600,2200,1.16,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Calibration Module for HRBPs,"The inability to effortlessly track and register the outcome of calibration discussions affects direclty HRBPs (and indirectly Nubankers) in the Perf Cycle's YE phase, leading to wasted effort, duplicate controls and data inacuracies.","A module that allows visibility of pre and post calibrated ratings, displaying the curve distribution of data, as well data segmentation. This module is adapted to support the MY Promo Cycle as well.",NO,Milena Ponte,4. Decline,P&C: HRBP,"People Manager - All, P&C: HRBP",(3) Perform my role,N/A,Qulture.Rocks,Quali feedback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On demand survey,Manual,,,,On demand,"Polly, Google Forms",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,80,80,0.04,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Performance Calibrations (service),"Lack of adequate forum for leaders to discuss their ability to assess individual performance affects Managers in their development, leading to overall reduced efficiency in Nubank's managers.",Companywide coordination of sync HRBP-supported meetings to assess managers capacity to evaluate their teams performance with a high performance bar,NO,Milena Ponte,3. Mature,People Manager - All,"People Manager - All, P&C: HRBP",(3) Perform my role,(4) Develop myself and grow,"Zoom, Meets, Google Slides",Quali feedback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Post-phase survey,Manual,,,,On demand,"Polly, Google Forms",% Ratings Adjusted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Automated,,,,Daily,YE Dashboard,% population allocation to post-calibrated state,,120,,4800,960,5880,3.09,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Feedback Exchange,"Being unable to exchange and keep records of peer feedback affects Nubankers in their longterm professional development, leading to Nubank's reduced impact.",A module that allows feedback exchange (proactive or reactive),NO,Felipe Palomaro,2. Growth,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Qulture.Rocks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,Qty of received feedback per Nubanker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Automated,,,,Daily,[wip] Continuous Performance Dashboard,"Sent feedback, Requested feedback",,,,,240,240,0.13,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Praise Module,"Lack of continuous public recognition affects Nubankers in the context of their daily activities, leading to potentially reduced team morale in the longterm thus reducing Nubank's ability to generate impact.",A module that allows for public recognition of good work done by individuals,NO,Felipe Palomaro,2. Growth,All Nubankers,All Nubankers,(3) Perform my role,N/A,Qulture.Rocks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,Qty of shared praised per Nubanker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,N/A,,,,N/A,N/A,Qty praise received,,,,,120,120,0.06,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Automated Baseball Cards for Calibrations,"Unstandardized and manual preparation of baseball cards affects managers in preparing for performance-related discussions (ex: calibrations), leading to wasted time and suboptimal discussions.","An automated tool to extract, expose and update data from Lead Assessments, leveraging pre-calibration preparations as well as support during sessions",NO,Milena Ponte,2. Growth,People Manager - All,"People Manager - All, P&C: HRBP",(3) Perform my role,N/A,Google Slides,Sean Ellis score,40%,,,,,,,,,,,,,Stand-alone survey,Manual,,,,On demand,"Polly, Google Forms",Saved Time from Managers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,800,,,1280,2080,1.09,TRUE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,YE Dashboard,"Unavailability of complete and consolidated information regarding YE Calibrations affects Calibration Session participants and, indirectly, all Nubankers in the context of their performance evaluations, leading to misaligment, wasted effort and suboptimal discussions.","A dashboard for HRBPs, Calibration Facilitators, Cross Calibrators and Managers to visualize all relevant data regarding Performance and Promotions",NO,Letícia Primon,3. Mature,P&C: HRBP,"People Manager - M3/M4, People Manager - M5+, P&C: HRBP",(3) Perform my role,N/A,Looker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,40,,,120,160,0.08,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Continuous Performance Dashboard,"Lack of acessibility to organized performance related data affects managers and all nubankers in their work execution and career development, leading to wasted time/effort and suboptimal performance management.","A dashboard for HRBPs and Managers exposing data regarding Expectations, Development Plans, Feedback and Praise",NO,Letícia Primon,1. Development,People Manager - All,"P&C: HRBP, P&C: Talent, P&C: LCB",(3) Perform my role,(4) Develop myself and grow,Visier/Looker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,640,640,0.34,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Performance Playbook (at Confluence),"Lack of consolidated knowledge base affects Nubankers in the context of using performance products, leading to suboptimal UX and confusing execution.","Consolidated information in 3 languages about the complete Performance Cycle, with instructions, supporting and reference material",NO,Bianca Weinberg,2. Growth,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Confluence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,Access volume,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Confluence,Manual,,,,Monthly,Confluence Analytics,N/A,,,,,120,120,0.06,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Performance Info Sessions,"Lack of performance management training affects Managers and nubankers in their career development, leading to Nubank's longterm reduced impact.",Training Sessions to improver users' ability to use other Performance Products,NO,Milena Ponte,2. Growth,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Zoom,Sean Ellis score,40%,-,42.60%,,,,,,,,,,,Zoom,Manual,,,,On demand,"Polly, Google Forms",% of invited population joining,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Zoom,Manual,,,,Per Session Delivered,Sheets / [wip] Dashboard,"CSAT, SES, NPS",,,,,640,640,0.34,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PSE,Life Insurance and Funeral Assistance,Provide financial security for employees and their families through offering life insurance and funeral benefits programs across all countries,The Life Insurance and Funeral Aid are an employee benefits solution that enables financial security for employees and their families by offering comprehensive life insurance and funeral benefits programs across all countries.,YES,Mariana Cavinatti,3. Mature,All Nubankers,All Nubankers,(3) Perform my role,N/A,Oracle,% of claims paid on time,98%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Broker operational report,Manual,High Effort,,,Quarterly,Internal Sheet,CSAT,4+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not currently extract,Manual,,,,N/A,N/A,N/A,,,,,456,456,0.24,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Health Plan,"Addresses the need for efficient management and administration of employee health benefits, ensuring compliance with regulations, providing employees with easy access to plan information.",The Health Plan is an employee benefits solution that enables security for employees and their families by offering comprehensive health coverage programs across all countries.,YES,Mariana Cavinatti,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,2850,2850,1.50,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Dental Plan,"Addresses the need for efficient management and administration of employee dental benefits, ensuring compliance with regulations, providing employees with easy access to plan information.",The Dental Plan is an employee benefits solution that enables dental care for employees and their families by offering comprehensive  coverage programs across all countries.,NO,Mariana Cavinatti,3. Mature,All Nubankers,All Nubankers,(3) Perform my role,N/A,Oracle,NPS,50+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey,Manual,,,,Semiannualy,N/A,Loss Ratio,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vendor reports/invoice,Manual,,,,Quarterly,Internal sheets,N/A,,,,,456,456,0.24,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,NuCare,"Addresses part of wellbeing by offering confidential support services for personal issues, like health, financial and legal cases ensuring easy access to counseling and resources.","NuCare is a wellbeing solution that enables personal issue management by offering confidential support services for health, financial, and legal cases through easy access to counseling and resources.",NO,Mariana Cavinatti,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,285,285,0.15,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,NuLanguage,"Provides tailored language education, enhancing proficiency, promoting cultural understanding, and supporting career advancement through accessible and flexible learning resources.", NuLanguage is an educational solution platform that enables enhanced language proficiency by providing tailored language education  through accessible and flexible learning resources.,NO,Artur Augelli,3. Mature,All Nubankers,All Nubankers,(3) Perform my role,(4) Develop myself and grow,Voxy System,NPS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vendor Survey,Manual,,,,Semiannualy,Internal Sheet,% of Nubankers participating on the program,10%+ (globally),19.80%,19.81%,13.62%,11.90%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vendor reports/invoice,Manual,,,,Monthly,Benefits Dashboard,"Turn-over, Level, Increase in proficiency",,,,,570,570,0.30,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,WFH Allowance,"Provides the additional resources to set up effective home office spaces, ensuring equitable support for remote workers.",Work from Home allowance is a subsidy for remote that enables support to work expenses by a monthly allowance payment.,YES,Mariana Cavinatti,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,4,4,0.00,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Parental Assistance,Provides support for the challenges faced by working parents by providing resources and support for different moments of life.,"The parental assistance program, is a consultancy that enables childcare guidance by offering mentoring sessions and concierge service for parental support.",NO,Mariana Cavinatti,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,285,285,0.15,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
